no,bagian,pertanyaan,opsi,jawaban
78,F,Prompt library (Resep) dengan variabel + berapa resep bawaan?,,
79,F,Persona chips bawaan: mau apa saja?,,
80,F,Slash command yang kamu mau ada?,,
81,F,Tipe file attach wajib: gambar/PDF/DOCX/XLSX/CSV/kode — pilih semua yang wajib,,
82,F,Batas ukuran file upload?,10MB | 25MB | 50MB | 100MB,
83,F,Perlu OCR untuk PDF scan & gambar?,perlu | tidak,
84,F,Web search: pakai Firecrawl (key sudah ada) atau tambah engine lain?,Firecrawl | Firecrawl+tambahan | lain,
85,F,Default toggle web search: on atau off?,off | on,
86,F,Image generation: model mana & kuota per hari?,,
87,F,Read aloud (TTS): perlu suara bahasa Indonesia?,perlu | Inggris cukup | tidak perlu,
88,F,STT bahasa Indonesia untuk voice input?,perlu | tidak,
89,F,Branching (edit pesan → fork cabang): seberapa penting?,penting | nice-to-have | tidak perlu,
90,F,"Perlu fitur ""lanjutkan jawaban"" (continue generating)?",perlu | tidak,
91,F,Rating jawaban (👍👎 + alasan) perlu?,perlu | tidak,
92,F,Export PDF rapi dengan header/brand Cuda?,perlu | tidak | MD cukup,
93,F,Share thread publik: langsung publik atau harus klik Publish?,harus Publish | langsung | tidak perlu,
94,F,Perlu mode sementara (percakapan tidak disimpan)?,perlu | tidak,
95,G,Artifact otomatis dibuka kalau kode lebih dari berapa baris?,15 | 30 | 50 | selalu tanya,
96,G,Tipe artifact wajib: HTML/React/SVG/Mermaid/chart/dokumen — pilih yang wajib,,
97,G,Artifact boleh menjalankan JS sendiri di sandbox iframe?,boleh | tidak (render statis),
98,G,Berapa versi history artifact yang disimpan?,5 | 10 | tak terbatas,
99,G,"Targeted edit (highlight → ""pendekin ini"") masuk v1?",v1 | nanti,
100,G,Publish artifact → link publik yang bisa dicabut?,ya | tidak perlu,
101,G,Artifact bisa diedit manual oleh kamu (bukan cuma AI)?,ya | tidak,
102,G,Perlu halaman galeri semua artifact?,perlu | tidak,
103,G,"Apa yang boleh diingat otomatis? (nama, preferensi, project, jadwal, data sensitif?)",,
104,G,Perlu halaman Memory yang bisa dilihat/diedit/dihapus?,perlu | tidak,
105,G,Scope memory: global / per Ruang Kerja / per percakapan?,global | per Ruang Kerja | per percakapan | gabungan,
106,G,"Perlu penjelasan ""kenapa ini diingat?"" (sumber fakta)?",perlu | tidak,
107,G,Fakta lama otomatis jadi kadaluwarsa (valid_at/invalid_at)?,ya | tidak,
108,G,Perlu import riwayat dari ChatGPT/Hermes ke Cuda?,perlu | tidak,
109,H,"Mulai misi: form goal khusus, atau dari chat biasa lalu naik jadi misi?",form | dari chat | dua-duanya,
110,H,Agent wajib tampilkan Rencana dulu & minta persetujuan sebelum jalan?,ya | langsung jalan | bisa diatur,
111,H,"Setelah plan di-approve, agent boleh eksekusi semua langkah tanpa tanya lagi?",boleh | tetap tanya per aksi berisiko,
112,H,Perlu tampilan Board (kanban) selain timeline?,perlu | timeline cukup,
113,H,Timeline default: kartu terbuka semua atau collapsed?,collapsed | terbuka,
114,H,"""Current step"" selalu di-pin di atas?",ya | tidak,
115,H,Perlu estimasi waktu & biaya sebelum misi jalan?,perlu | tidak,
116,H,Kalau agent nyangkut: langsung eskalasi atau coba ulang dulu?,langsung eskalasi | coba 3x lalu eskalasi,
117,H,Batas maksimal langkah per misi (default)?,8 | 12 | 20 | 50,
118,H,Batas aksi/tool call per misi (default)?,25 | 50 | 100,
119,H,Batas waktu per misi (default)?,10 menit | 30 menit | 1 jam | tanpa batas,
120,H,"Batas biaya per misi (Rp, default)?",,
121,H,Agent boleh bertanya balik ke kamu di tengah misi?,boleh | tidak,
122,H,"Perlu mode ""diskusi"" (agent cuma ngobrol, tidak eksekusi) di room agent?",perlu | tidak,
123,H,"Perlu ""fork misi"" (ulang dari langkah tertentu)?",perlu | tidak,
124,H,Perlu bandingkan 2 rencana lalu pilih?,perlu | tidak,
125,H,Format Serahan (hasil akhir) yang wajib: md/pdf/zip/link/gambar?,,
126,H,Agent boleh kirim hasil otomatis ke Telegram/WA?,boleh | harus tanya dulu | tidak,
127,I,"Default autonomy level: Sarankan, Draf, atau Eksekusi?",Sarankan | Draf | Eksekusi,
128,I,Aksi apa saja yang WAJIB minta izin? (deploy/hapus/kirim/bayar/network/tulis file),,
129,I,Perlu matriks izin per tool (selalu/tanya/tidak) yang bisa diubah user?,perlu | tidak,
130,I,"Izin bisa ""ingat pilihan ini untuk misi ini""?",bisa | selalu tanya ulang,
131,I,Perlu mode paranoid (semua aksi tanya)?,perlu | tidak,
132,I,"Perlu mode gas (semua aksi otomatis, tanpa tanya)?",perlu | tidak | dengan peringatan,
133,I,"Kalau izin ditolak, agent harus ngapain?",re-plan | stop | tanya alternatif,
134,I,Kartu izin auto-pause kalau tidak dijawab berapa lama?,2 menit | 5 menit | tidak auto-pause,
135,I,Agent hanya boleh akses folder workspace misi?,ya | boleh lebih luas,
136,I,Akses internet agent: bebas atau whitelist domain?,bebas | whitelist | bebas+tanya,
137,I,Agent boleh jalankan sudo?,tidak | boleh (bahaya),
138,I,"Command berbahaya (rm -rf, dd, curl|bash) diblok total?",blok | tanya dulu | bebas,
139,I,Log diredact (API key/token disembunyikan otomatis)?,ya | tidak,
140,I,Audit trail bisa diekspor (JSON/PDF)?,perlu | tidak,
141,I,"Undo aksi file: cukup git-based, atau perlu trash bin juga?",git saja | +trash bin,
142,I,Checkpoint otomatis tiap langkah atau tiap N langkah?,tiap langkah | tiap 3 langkah,
143,I,Berapa checkpoint disimpan sebelum auto-prune?,20 | 50 | tak terbatas,
144,I,Kalau nanti ada Docker: perlu network namespace terpisah per misi?,perlu | tidak,
145,I,Data misi disimpan berapa lama sebelum dihapus otomatis?,7 hari | 30 hari | permanen,
146,I,Cuda boleh simpan credential/API key user untuk tool? Bagaimana enkripsinya?,,
147,J,Tool prioritas v1 (pilih 6–8 dari daftar di plan §5.3)?,,
148,J,Tool browser (Playwright) masuk v1?,v1 | nanti,
149,J,Tool scraping Firecrawl langsung jadi tool agent?,ya | tidak,
150,J,Tool generate gambar untuk agent?,perlu | tidak,
151,J,Tool bikin PDF/DOCX/XLSX?,perlu | tidak,
152,J,Tool git (commit/branch/push) + auto-push ke GitHub?,"perlu+auto push | perlu, tanpa auto push | tidak",
153,J,Tool deploy (Vercel/GitHub Pages) di v1?,v1 | nanti,
154,J,Tool kirim email/WhatsApp/Telegram?,perlu | tidak,
155,J,Tool query database lokal (SQL)?,perlu | tidak,
156,J,Tool RAG atas file workspace (tanya-jawab dokumen misi)?,perlu | tidak,
157,J,Tool olah CSV/XLSX besar (100k baris)?,perlu | tidak,
158,J,"Tool convert file (docx→pdf, img→webp, dll)?",perlu | tidak,
159,J,Tool monitoring uptime situs + alert?,perlu | tidak,
160,J,"Tool scrape sosmed (IG/TikTok) — sadar batasan ToS, tetap mau?",tidak | ya dengan batasan,
161,J,Tool OSINT (pakai scam-hunt yang sudah ada)?,perlu | tidak,
162,J,Agent bisa simpan Playbook dari misi sukses (belajar sendiri)?,boleh | tidak,
163,J,Tool jalankan skrip/plugin custom buatan user?,perlu | tidak,
164,J,Perlu marketplace tool/plugin dari orang lain?,perlu | tidak | nanti,
165,K,"Urutan prioritas provider: TeamORouter, Ldrcloud, Meridian, Genspark — tulis urutannya",,
166,K,Model default Cuda AI (cepat & murah)?,,
167,K,Model default Cuda Agent planner (reasoning kuat)?,,
168,K,Model untuk executor (murah & cepat)?,,
169,K,Model untuk summarizer/compressor?,,
170,K,User boleh ganti model per percakapan/misi?,boleh | model tetap | admin saja,
171,K,Berapa model dalam rantai fallback sebelum menyerah?,2 | 3 | 5,
172,K,Kalau semua provider down: pesan/aksi apa yang muncul?,,
173,K,Perlu limit token per user per hari?,perlu (berapa) | tidak,
174,K,Perlu BYO key (user bawa API key sendiri)?,perlu | tidak,
175,K,Perlu expose endpoint OpenAI-compatible dari Cuda?,perlu | tidak | nanti,
176,K,Markup billing Rupiah per token berapa persen?,0% | 10% | 20% | lain,
177,K,Perlu model lokal (llama.cpp di STB) sebagai opsi offline?,perlu | tidak,
178,K,Perlu prompt caching untuk hemat biaya?,perlu | tidak,
179,L,"Metode login: email+password, magic link, Google OAuth, Telegram login?",email+pw | magic link | Google | Telegram,
180,L,Perlu mode tamu (tanpa login) di v1?,perlu | tidak,
181,L,Perlu multi-device sync?,perlu | tidak,
182,L,"Data percakapan disimpan di server, lokal browser, atau dua-duanya?",server | lokal | dua-duanya,
183,L,Perlu export semua data (GDPR-style)?,perlu | tidak,
184,L,Perlu hapus akun self-service?,perlu | tidak,
185,L,Perlu role admin terpisah?,perlu | tidak,
186,L,Batas percakapan/misi untuk user gratis?,,
187,L,Data user boleh dipakai untuk training/evaluasi?,tidak | boleh anonim | tanya dulu,
188,L,Perlu enkripsi at-rest untuk isi percakapan?,perlu | tidak,
189,L,Perlu session timeout / 2FA?,2FA | timeout | dua-duanya | tidak,
190,L,Username publik untuk link share (mis. /share/c/ziee)?,perlu | slug acak saja,
191,M,"Model bisnis: gratis total, freemium, atau berbayar?",gratis | freemium | berbayar,
192,M,"Kalau freemium: batas gratisnya apa (pesan/hari, misi/bulan)?",,
193,M,Harga paket bulanan yang wajar (Rp)?,,
194,M,"Metode bayar: QRIS, transfer bank, Midtrans, crypto?",,
195,M,Pakai kredit (credit system) atau langganan flat?,kredit | langganan | dua-duanya,
196,M,Perlu halaman invoice/riwayat pembayaran?,perlu | tidak,
197,M,Kuota agent dipisah dari kuota chat?,dipisah | digabung,
198,M,Perlu referral/affiliate?,perlu | tidak,
199,M,Perlu free trial?,7 hari | 14 hari | tidak,
200,M,Biaya API upstream ditanggung siapa (kamu atau user)?,kamu | user | dibagi,
201,M,Rate limit anti-abuse: berapa per menit?,10 | 30 | 60 | tanpa limit,
202,M,Perlu paket khusus mahasiswa?,perlu | tidak,
203,N,"Tema default: dark, light, atau ikut sistem?",dark | light | ikut sistem,
204,N,Light mode masuk v1?,v1 | nanti | tidak perlu,
205,N,Font Inter + JetBrains Mono — oke?,oke | ganti (sebutkan),
206,N,"Density: Cuda AI lega, Cuda Agent padat — setuju?",setuju | ubah,
207,N,"Animasi/transisi: halus banyak, atau minim & cepat?",halus | minim | sedang,
208,N,Suara notifikasi saat misi selesai?,perlu | tidak,
209,N,Notifikasi push browser?,perlu | tidak,
210,N,Icon set Lucide — oke?,oke | ganti,
211,N,Perlu ilustrasi/empty state custom (dibuatkan)?,perlu | tidak | pakai icon saja,
212,N,Onboarding: wizard 3 langkah atau langsung pakai?,wizard | langsung | tidak perlu,
213,N,Landing marketing lengkap atau cuma redirect ke app?,lengkap | redirect | landing ringkas,
214,N,Perlu demo interaktif di landing?,perlu | tidak,
215,N,Target aksesibilitas WCAG AA?,target AA | seadanya,
216,N,Perlu keyboard shortcut lengkap + halaman cheat sheet?,perlu | tidak,
217,N,User boleh ganti warna accent sendiri?,boleh | tetap,
218,N,Ada referensi visual/situs yang kamu suka untuk jadi acuan? (kirim link),,
219,O,Prioritas: desktop dulu atau mobile dulu?,desktop | mobile | dua-duanya,
220,O,PWA installable di v1?,v1 | nanti,
221,O,Offline mode (baca riwayat tanpa internet)?,perlu | tidak,
222,O,Cuda Agent di HP pakai tab bar (Misi/Aktivitas/Workspace/Serahan) — setuju?,setuju | ubah,
223,O,Notifikasi HP saat misi selesai via bot Telegram?,perlu | tidak,
224,O,Swipe gesture (arsip/hapus) di mobile?,perlu | tidak,
225,O,Ukuran font default di HP?,kecil | sedang | besar,
226,O,Mode lanskap untuk lihat timeline + workspace bareng?,perlu | tidak,
227,O,Perlu quick action share-ke-Cuda dari app lain?,perlu | tidak,
228,O,"App Android native nanti, atau PWA cukup?",PWA cukup | native nanti,
229,P,"Integrasi wajib: GitHub, Telegram, Google Drive, Notion — pilih yang wajib v1",,
230,P,"Perlu integrasi dengan project kamu yang lain (Meridian, masbraw-chat lama)?",perlu | tidak,
231,P,Migrasi data dari masbraw-chat lama perlu?,perlu | tidak | mulai bersih,
232,P,Perlu bot Telegram sebagai front-end Cuda (chat lewat TG)?,perlu | tidak | nanti,
233,P,Perlu integrasi WhatsApp?,perlu | tidak | nanti,
234,P,"Perlu integrasi kalender/tugas (Google Calendar, Todoist)?",perlu | tidak,
235,P,Perlu webhook keluar (hasil misi dikirim ke endpoint kamu)?,perlu | tidak,
236,P,Perlu API key Cuda untuk dipakai app lain?,perlu | tidak,
237,P,"Perlu integrasi Hermes (Cuda jadi tool Hermes, atau sebaliknya)?",Cuda jadi tool | Hermes jadi tool | tidak,
238,P,MCP server mana yang mau dipasang dulu?,,
239,P,Perlu integrasi pembayaran di v1?,v1 | nanti,
240,P,Perlu kirim laporan via email?,perlu | tidak,
241,Q,Siapa yang maintain setelah jadi?,kamu sendiri | kamu + gue | orang lain,
242,Q,Perlu CI/CD GitHub Actions untuk deploy otomatis?,perlu | tidak,
243,Q,Perlu staging environment terpisah?,perlu | tidak,
244,Q,Target test coverage?,40% | 70% | 90% | seadanya,
245,Q,Load test: berapa misi paralel harus kuat?,3 | 5 | 10 | 20,
246,Q,"Kalau ada bug produksi, notif ke mana?",Telegram | email | keduanya,
247,Q,Perlu halaman status publik (cek node hidup)?,perlu | tidak,
248,Q,Perlu dokumentasi user/help center di v1?,perlu | tidak | nanti,
249,Q,Perlu changelog publik?,perlu | tidak,
250,Q,Backup & restore drill berapa sering?,harian | mingguan | bulanan,
251,R,Fitur apa yang kamu bayangkan ada 6 bulan lagi?,,
252,R,Cuda mau jadi SaaS publik atau tetap personal tool?,SaaS | personal | dua-duanya,
253,R,"Kalau sukses, buka versi untuk tim/kantor (Cuda Teams)?",ya | tidak | mungkin,
254,R,Perlu versi enterprise/on-premise?,perlu | tidak,
255,R,Perlu mobile app native?,perlu | PWA cukup,
256,R,Perlu marketplace playbook/tool dari komunitas?,perlu | tidak,
257,R,Perlu Cuda belajar dari percakapan lama kamu (fine-tune/RAG personal)?,perlu | tidak,
258,R,Perlu multi-agent kolaborasi (beberapa agent kerja bareng di satu misi)?,perlu | tidak | nanti,
259,R,Perlu agent bisa jual jasa (agent-as-a-service ke klien)?,perlu | tidak,
260,R,Milestone 3 bulan / 6 bulan / 1 tahun?,,
261,R,Ada fitur besar lain yang mau kamu tambahkan sekarang?,,
262,R,Ada hal yang HARAM dilakukan Cuda (batasan keras dari kamu)?,,
